Employee_ID;EmployeeCode;FirstName;LastName;FullName;Gender;Age;AgeGroup;BusinessTravel;DistanceFromHome;State;Ethnicity;MaritalStatus;Salary;StockOptionLevel;OverTime;HireDate;Attrition;YearsAtCompany;YearsInMostRecentRole;YearsSinceLastPromotion;YearsWithCurrentManager;DepartmentName;EducationLevel;EducationField;JobRole
1;001A-8F88;Christy;Jumel;Christy Jumel;Male;22;Under 25;Some Travel;40;CA;White;Married;27763.00;0;No;2021-09-05;No;1;0;1;0;Technology;Masters;Information Systems;Software Engineer
2;005C-E0FB;Fin;O'Halleghane;Fin O'Halleghane;Non-Binary;24;Under 25;Frequent Traveller;17;CA;White;Married;56155.00;1;No;2017-08-26;No;5;2;2;0;Sales;Masters;Marketing;Sales Executive
3;00A3-2445;Wyatt;Ziehm;Wyatt Ziehm;Male;30;25-34;Some Travel;6;CA;Black or African American;Married;126238.00;0;No;2012-03-08;No;10;3;6;6;Technology;High School;Computer Science;Machine Learning Engineer
4;00B0-F199;Trueman;Jirasek;Trueman Jirasek;Male;23;Under 25;Some Travel;35;CA;White;Married;97824.00;1;Yes;2020-03-16;Yes;1;0;1;0;Sales;No Formal Qualifications;Marketing;Sales Executive
5;00D4-DD53;Joyce;Goor;Joyce Goor;Female;30;25-34;Frequent Traveller;44;CA;Black or African American;Single;68508.00;0;Yes;2012-01-28;Yes;5;4;4;4;Technology;No Formal Qualifications;Computer Science;Software Engineer
6;00E4-3D60;Sherilyn;Girke;Sherilyn Girke;Female;30;25-34;Frequent Traveller;37;CA;White;Single;109778.00;0;No;2022-06-23;Yes;0;0;0;0;Technology;No Formal Qualifications;Business Studies;Data Scientist
7;0145-DBFC;Keelia;Studde;Keelia Studde;Female;34;25-34;No Travel;8;CA;Asian or Asian American;Single;104268.00;0;No;2014-02-10;No;8;7;7;7;Technology;Masters;Information Systems;Data Scientist
8;0172-B5D2;Ketti;Keighley;Ketti Keighley;Female;27;25-34;Some Travel;28;CA;White;Married;93291.00;0;No;2020-09-11;No;2;1;2;1;Technology;Masters;Computer Science;Machine Learning Engineer
9;017D-0B97;Maison;Werndley;Maison Werndley;Male;20;Under 25;Some Travel;39;CA;White;Married;22558.00;1;Yes;2020-03-30;No;2;0;1;1;Sales;High School;Technical Degree;Sales Representative
10;018B-DF1E;Otha;Sopper;Otha Sopper;Female;19;Under 25;Some Travel;1;CA;White;Single;24499.00;0;Yes;2022-10-17;No;0;0;0;0;Sales;No Formal Qualifications;Economics;Sales Representative
11;0210-E0D8;Yankee;Charteris;Yankee Charteris;Male;36;35-44;Some Travel;7;NY;White;Single;243989.00;0;Yes;2020-07-18;Yes;1;0;1;1;Sales;Bachelors;Technical Degree;Sales Executive
12;022A-0219;Francine;Fernez;Francine Fernez;Female;32;25-34;Frequent Traveller;14;IL;American Indian or Alaska Native;Married;86639.00;0;No;2012-05-21;No;10;3;9;5;Technology;Bachelors;Business Studies;Software Engineer
13;0240-4D29;Kaylil;Blenkiron;Kaylil Blenkiron;Non-Binary;35;35-44;Some Travel;31;CA;Asian or Asian American;Single;77269.00;0;No;2014-09-13;No;8;8;8;6;Technology;Masters;Computer Science;Software Engineer
14;02DA-7A72;Tadeas;Lackney;Tadeas Lackney;Male;29;25-34;Frequent Traveller;42;CA;White;Married;78726.00;1;No;2012-04-25;Yes;6;0;1;1;Sales;Bachelors;Technical Degree;Sales Representative
15;0317-B7BC;Ronni;Beechcraft;Ronni Beechcraft;Female;23;Under 25;Some Travel;7;IL;White;Married;72622.00;0;Yes;2020-03-03;No;2;0;2;0;Sales;Masters;Marketing;Sales Executive
16;0322-D46B;Nikolas;Leslie;Nikolas Leslie;Male;32;25-34;Some Travel;39;CA;Black or African American;Married;105748.00;2;No;2012-03-28;No;10;0;1;8;Sales;Masters;Marketing;Sales Executive
17;0375-2F04;Lani;Raddenbury;Lani Raddenbury;Female;19;Under 25;No Travel;38;IL;White;Single;51673.00;2;No;2021-11-30;No;1;0;1;0;Sales;Masters;Technical Degree;Sales Executive
18;03C5-51AD;Maxie;Banker;Maxie Banker;Female;25;25-34;Some Travel;1;IL;White;Married;32354.00;1;Yes;2015-12-06;Yes;7;4;6;2;Technology;High School;Computer Science;Data Scientist
19;03D3-AA88;Mycah;Brolechan;Mycah Brolechan;Male;23;Under 25;Some Travel;8;NY;White;Married;42250.00;2;No;2018-03-26;No;4;1;2;4;Technology;Masters;Other;Software Engineer
20;03D5-622D;Aurora;Whate;Aurora Whate;Female;21;Under 25;No Travel;43;CA;White;Married;54355.00;1;Yes;2021-12-31;No;1;0;1;1;Sales;No Formal Qualifications;Marketing;Sales Executive
21;03D9-FF08;Lynnette;Portinari;Lynnette Portinari;Non-Binary;22;Under 25;Some Travel;30;CA;White;Single;44135.00;0;No;2020-05-15;No;2;0;1;1;Technology;Masters;Other;Software Engineer
22;03EF-5904;Shepperd;Brittain;Shepperd Brittain;Male;31;25-34;Some Travel;45;IL;American Indian or Alaska Native;Married;195261.00;1;No;2013-09-09;No;9;3;4;5;Technology;Bachelors;Other;Machine Learning Engineer
